# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10V1001C--00293M	active
10V1001C--00294K	active
10V1001C--00295I	active
10V1001C--00296G	active
10V1001C--00297E	active
10V1001C--00298C	active
10V1001C--00299A	active
10V1001C--00300E	active
10V1001C--00301C	active
10V1001C--00302A	active
10V1001C--003038	active
10V1001C--003054	active
10V1001C--003062	active
10V1001C--003119	active
10V1001C-000012C	active
10V361A21688736B	active
10V361P645324117	active
10V361T016987936	active
10VA10001001001M	active
10VAMP-ECP-MC-PY	active
10VAMP-ECP-MC-TQ	active
10VCIO-TOOL-ECP1	active
10VCIO-TP--IOP-U	active
10VCS2-ECP-MC-P4	active
10VCS2-ECP-MC-TX	active
10VCSEEH4MMD-NDO	active
10VELIA-EH4M-PR2	active
10VELIA-EH4M-TSP	active
10VENTSOE-CGM004	active
10VENTSOE-OPDE1R	active
10VL8XTA41L9P26Y	active
10VP10001001001C	active
10VTNG-ECP-MC-AF	active
10VTNG-ECP-MC-PM	active
10X1001A1001A094	active
10X1001A1001A23A	inactive
10X1001A1001A248	active
10X1001A1001A264	active
10X1001A1001A329	active
10X1001A1001A337	inactive
10X1001A1001A345	active
10X1001A1001A353	active
10X1001A1001A361	active
10X1001A1001A38Y	active
10X1001A1001A39W	active
10X1001A1001A418	active
10X1001A1001A450	active
10X1001A1001A46Z	active
10X1001A1001A47X	active
10X1001A1001A48V	inactive
10X1001A1001A49T	active
10X1001A1001A507	inactive
10X1001A1001A515	active
10X1001A1001A523	active
10X1001A1001A531	active
10X1001A1001A55Y	active
10X1001A1001A56W	inactive
10X1001A1001A57U	active
10X1001A1001A58S	active
10X1001A1001A59Q	active
10X1001A1001A604	active
10X1001A1001A612	active
10X1001A1001A620	active
10X1001A1001B54W	active
10X1001B1001B61Q	active
10X1001C--00001X	active
10X1001C--00002V	active
10X1001C--00003T	active
10X1001C--00004R	active
10X1001C--00005P	active
10X1001C--00006N	active
10X1001C--00007L	active
10X1001C--00008J	active
10X1001C--00009H	active
10X1001C--00010W	active
10X1001C--00011U	active
10XAL-KESH-----J	active
10XAT-APG------Z	active
10XAT-TIRAG-N--Q	active
10XAT-VKW-UNG--Y	active
10XBA-JPCCZEKC-K	active
10XBG-ESO------A	active
10XBG-NEK-EAD--P	inactive
10XCB-CZ-COMP--D	active
10XCB-CZECH-REPJ	active
10XCB-EKC------3	inactive
10XCB-HUNGARY--X	active
10XCB-POLAND---C	inactive
10XCB-ROMANIA--Q	inactive
10XCB-SLOVAKIA-V	active
10XCH-ATEL-GRIDU	inactive
10XCH-AXPO-GRIDX	inactive
10XCH-BKW-GRID-X	inactive
10XCH-CKW-GRID-N	inactive
10XCH-EGL-GRID-G	inactive
10XCH-EOST-GRIDF	inactive
10XCH-ETRANS---U	inactive
10XCH-EWZ-GRID-J	inactive
10XCH-NOK-GRID-A	inactive
10XCH-SWISSGRIDC	active
10XCS-CG-TSO---5	active
10XCS-SERBIATSO8	active
10XCZ-CEPS-GRIDE	active
10XDE-ENBW--TNGX	active
10XDE-EON-NETZ-C	active
10XDE-RWENET---W	active
10XDE-VE-TRANSMK	active
10XES-REE------E	active
10XFR-RTE------Q	active
10XGR-HTSO-----B	active
10XHR-CROISMO--A	inactive
10XHR-HEP-OPS--A	active
10XLU-CEGEDEL-N3	inactive
10XMK-MEPSO----M	active
10XNITSO-12345-O	active
10XPL-TSO------P	active
10XPL01A1001A39N	inactive
10XPT-REN------9	active
10XRKS-KOSTT-007	active
10XRO-TEL------2	active
10XSI-ELES-----1	active
10XSK-SEPS-GRIDB	active
10XTR-TEIAS----9	active
10XUA-WPS------K	active
10Y--NORTHCOMP-H	inactive
10Y--SOUTHCOMP-9	inactive
10Y1001A1001A008	active
10Y1001A1001A016	active
10Y1001A1001A39I	active
10Y1001A1001A42T	active
10Y1001A1001A43R	inactive
10Y1001A1001A44P	active
10Y1001A1001A45N	active
10Y1001A1001A46L	active
10Y1001A1001A47J	active
10Y1001A1001A48H	active
10Y1001A1001A49F	active
10Y1001A1001A50U	active
10Y1001A1001A51S	active
10Y1001A1001A52Q	active
10Y1001A1001A53O	active
10Y1001A1001A54M	active
10Y1001A1001A55K	active
10Y1001A1001A56I	active
10Y1001A1001A57G	active
10Y1001A1001A58E	active
10Y1001A1001A59C	active
10Y1001A1001A62N	active
10Y1001A1001A63L	active
10Y1001A1001A64J	active
10Y1001A1001A65H	active
10Y1001A1001A66F	active
10Y1001A1001A67D	active
